T t_cool t_int_cool 4PI_epsilon
0.1 0.00000000000000000000e+00 1.58713254820064949989e+09 4.30191644293568075332e-28
1.00202778454699201194e-01 9.60789664431637711823e+06 1.57752465155633306503e+09 4.35450692410543355763e-28
1.00405968100415327049e-01 9.54978223097060620785e+06 1.56797486932536244392e+09 4.40774031682099357019e-28
1.00609569770955128987e-01 9.49200823562666028738e+06 1.55848286108973574638e+09 4.46162448056475116190e-28
1.00813584301816208666e-01 9.43448732536872103810e+06 1.54904837376436710358e+09 4.51616737089962320289e-28
1.01018012530190312570e-01 9.37738377872736193240e+06 1.53967098998563981056e+09 4.57137704064351605770e-28
1.01222855294966884721e-01 9.32069092295451834798e+06 1.53035029906268525124e+09 4.62726164105832352066e-28
1.01428113436736452857e-01 9.26424121674069575965e+06 1.52108605784594464302e+09 4.68382942305334669100e-28
1.01633787797794014618e-01 9.20819322322905994952e+06 1.51187786462271547318e+09 4.74108873840346402757e-28
1.01839879222142659643e-01 9.15246208831970952451e+06 1.50272540253439569473e+09 4.79904804098215382211e-28
1.02046388555496872486e-01 9.09704453744527138770e+06 1.49362835799695038795e+09 4.85771588800970898994e-28
1.02253316645286057573e-01 9.04201406959990598261e+06 1.48458634392735052109e+09 4.91710094131654193932e-28
1.02460664340658078042e-01 8.98728901833651773632e+06 1.47559905490901398659e+09 4.97721196862210237200e-28
1.02668432492482600282e-01 8.93286637293403968215e+06 1.46666618853607988358e+09 5.03805784482923223610e-28
1.02876621953354743799e-01 8.87881714452914334834e+06 1.45778737139155077934e+09 5.09964755333457933510e-28
1.03085233577598536781e-01 8.82506272964031808078e+06 1.44896230866191053391e+09 5.16199018735487856813e-28
1.03294268221270246766e-01 8.77160036155508831143e+06 1.44019070830035543442e+09 5.22509495126937164435e-28
1.03503726742162183161e-01 8.71856994478566013277e+06 1.43147213835556983948e+09 5.28897116197890337003e-28
1.03713609999806055662e-01 8.66575235325705073774e+06 1.42280638600231289864e+09 5.35362825028137613356e-28
1.03923918855476415946e-01 8.61328681012567505240e+06 1.41419309919218730927e+09 5.41907576226411952007e-28
1.04134654172194432431e-01 8.56116831353345885873e+06 1.40563193087865376472e+09 5.48532336071333110462e-28
1.04345816814731179312e-01 8.50932406209631077945e+06 1.39712260681655740738e+09 5.55238082654060994768e-28
1.04557407649611341927e-01 8.45781885190659202635e+06 1.38866478796465086937e+09 5.62025806022711012959e-28
1.04769427545116797229e-01 8.40664800373760983348e+06 1.38025813996091318130e+09 5.68896508328520222015e-28
1.04981877371289986089e-01 8.35574146237597335130e+06 1.37190239849853730202e+09 5.75851203973801128091e-28
1.05194757999937729687e-01 8.30522653887854143977e+06 1.36359717195965886116e+09 5.82890919761717847371e-28
1.05408070304634574055e-01 8.25490476235486380756e+06 1.35534226719730401039e+09 5.90016695047873686204e-28
1.05621815160726550964e-01 8.20496595256878621876e+06 1.34713730124473524094e+09 5.97229581893773636175e-28
1.05835993445334758389e-01 8.15527886014069709927e+06 1.33898202238459444046e+09 6.04530645222140529202e-28
1.06050606037358746692e-01 8.10590330371682904661e+06 1.33087611908087754250e+09 6.11920962974145568113e-28
