T t_cool t_int_cool 4PI_epsilon
0.1 0.00000000000000000000e+00 1.72043816129090929031e+09 5.00421018434484050514e-26
1.00202778454699201194e-01 1.03950395784789510071e+07 1.71004312171243023872e+09 5.06532728023992085637e-26
1.00405968100415327049e-01 1.03322840920702740550e+07 1.69971083762035989761e+09 5.12719080597801481178e-26
1.00609569770955128987e-01 1.02698954611138813198e+07 1.68944094215924596786e+09 5.18980987776587272672e-26
1.00813584301816208666e-01 1.02077792073302939534e+07 1.67923316295191574097e+09 5.25319372314693755121e-26
1.01018012530190312570e-01 1.01461130858333297074e+07 1.66908704986608242989e+09 5.31735168236122591591e-26
1.01222855294966884721e-01 1.00848898925056289881e+07 1.65900215997357678413e+09 5.38229320972159841043e-26
1.01428113436736452857e-01 1.00239283627744708210e+07 1.64897823161080241203e+09 5.44802787500700852292e-26
1.01633787797794014618e-01 9.96340007344146259129e+06 1.63901483153736090660e+09 5.51456536487265390269e-26
1.01839879222142659643e-01 9.90321322519542649388e+06 1.62911161831216549873e+09 5.58191548427743517013e-26
1.02046388555496872486e-01 9.84336428675985708833e+06 1.61926825402540564537e+09 5.65008815792876130379e-26
1.02253316645286057573e-01 9.78393279970805160701e+06 1.60948432122569751740e+09 5.71909343174510453310e-26
1.02460664340658078042e-01 9.72483041022447310388e+06 1.59975949081547307968e+09 5.78894147433631736384e-26
1.02668432492482600282e-01 9.66605387197961099446e+06 1.59009343694349336624e+09 5.85964257850208596633e-26
1.02876621953354743799e-01 9.60768003681128285825e+06 1.58048575690668201447e+09 5.93120716274870015320e-26
1.03085233577598536781e-01 9.54962386175182275474e+06 1.57093613304493021965e+09 6.00364577282427999603e-26
1.03294268221270246766e-01 9.49188236400372907519e+06 1.56144425068092656136e+09 6.07696908327279887224e-26
1.03503726742162183161e-01 9.43460694912959635258e+06 1.55200964373179697990e+09 6.15118789900709924038e-26
1.03713609999806055662e-01 9.37756050823275744915e+06 1.54263208322356414795e+09 6.22631315690111580963e-26
1.03923918855476415946e-01 9.32089371007450670004e+06 1.53331118951348972321e+09 6.30235592740144730022e-26
1.04134654172194432431e-01 9.26460115507955476642e+06 1.52404658835841012001e+09 6.37932741615879796151e-26
1.04345816814731179312e-01 9.20860407225946336985e+06 1.51483798428615069389e+09 6.45723896567916946137e-26
1.04557407649611341927e-01 9.15297259366918168962e+06 1.50568501169248151779e+09 6.53610205699531857380e-26
1.04769427545116797229e-01 9.09770166820713318884e+06 1.49658731002427434921e+09 6.61592831135859660681e-26
1.04981877371289986089e-01 9.04271549361021630466e+06 1.48754459453066420555e+09 6.69672949195142885821e-26
1.05194757999937729687e-01 8.98815185947130434215e+06 1.47855644267119288445e+09 6.77851750562078077810e-26
1.05408070304634574055e-01 8.93379598722087591887e+06 1.46962264668397212029e+09 6.86130440463269463798e-26
1.05621815160726550964e-01 8.87985331723765842617e+06 1.46074279336673450470e+09 6.94510238844835014434e-26
1.05835993445334758389e-01 8.82618181719770096242e+06 1.45191661154953670502e+09 7.02992380552175116357e-26
1.06050606037358746692e-01 8.77284623702534660697e+06 1.44314376531251144409e+09 7.11578115511941623185e-26
1.06265653817480473786e-01 8.71990815443344600499e+06 1.43442385715807795525e+09 7.20268708916224504137e-26
1.06481137668167566424e-01 8.66716567422423511744e+06 1.42575669148385381699e+09 7.29065441408992135739e-26
1.06697058473677205970e-01 8.61481236761625669897e+06 1.41714187911623764038e+09 7.37969609274807047529e-26
1.06913417120059667242e-01 8.56277832805457152426e+06 1.40857910078818297386e+09 7.46982524629845820371e-26
1.07130214495161829591e-01 8.51105963973103277385e+06 1.40006804114845204353e+09 7.56105515615247358963e-26
1.07347451488631062677e-01 8.45965248111098818481e+06 1.39160838866734099388e+09 7.65339926592835456323e-26
1.07565128991918709800e-01 8.40855312265434674919e+06 1.38319983554468655586e+09 7.74687118343229195957e-26
1.07783247898283723876e-01 8.35775792460655234754e+06 1.37484207762007999420e+09 7.84148468266345094731e-26
1.08001809102796511586e-01 8.30726333483755402267e+06 1.36653481428524255753e+09 7.93725370584398548776e-26
1.08220813502342347312e-01 8.25706588670273963362e+06 1.35827774839853978157e+09 8.03419236547333524703e-26
1.08440261995625300551e-01 8.20716219698443822563e+06 1.35007058620155525208e+09 8.13231494640804588844e-26
1.08660155483171816382e-01 8.15760662129485141486e+06 1.34191297958026051521e+09 8.23163590796660535409e-26
1.08880494867334351450e-01 8.10827992660753522068e+06 1.33380469965365290642e+09 8.33216988606031436166e-26
1.09101281052295176477e-01 8.05929360393280722201e+06 1.32574540604972004890e+09 8.43393169534995004826e-26
1.09322514944070081633e-01 8.01064254672975651920e+06 1.31773476350299024582e+09 8.53693633142886331384e-26
1.09544197450511970882e-01 7.96221192191394045949e+06 1.30977255158107638359e+09 8.64119897303279570229e-26
1.09766329481314789396e-01 7.91410936599931679666e+06 1.30185844221507716179e+09 8.74673498427659834314e-26
1.09988911948017034637e-01 7.86633008457349333912e+06 1.29399211213050365448e+09 8.85355991691823636714e-26
1.10211945764005683768e-01 7.81876347765768226236e+06 1.28617334865284585953e+09 8.96168951265056322793e-26
1.10435431844519885147e-01 7.77156577723431587219e+06 1.27840178287561154366e+09 9.07113970542100957070e-26
1.10659371106654594308e-01 7.72457551637703925371e+06 1.27067720735923457146e+09 9.18192662377962057058e-26
1.10883764469364556882e-01 7.67794526510199159384e+06 1.26299926209413266182e+09 9.29406659325576775673e-26
1.11108612853467833559e-01 7.63151751277671568096e+06 1.25536774458135604858e+09 9.40757613876379360958e-26
1.11333917181649824646e-01 7.58544125123749580234e+06 1.24778230333011865616e+09 9.52247198703835346153e-26
1.11559678378466892168e-01 7.53961206749313976616e+06 1.24024269126262545586e+09 9.63877106909900929916e-26
1.11785897370350148505e-01 7.49407638257458619773e+06 1.23274861488005089760e+09 9.75649052274539101025e-26
1.12012575085609383807e-01 7.44878220499528571963e+06 1.22529983267505550385e+09 9.87564769508255314201e-26
1.12239712454436785238e-01 7.40377491594217438251e+06 1.21789605775911331177e+09 9.99626014507725726261e-26
1.12467310408910725616e-01 7.35905074916429072618e+06 1.21053700700994896889e+09 1.01183456461455036461e-25
1.12695369882999704703e-01 7.31455968857087194920e+06 1.20322244732137799263e+09 1.02419221887715763081e-25
1.12923891812565999060e-01 7.27039138695750385523e+06 1.19595205593442058563e+09 1.03670079831592075059e-25
1.13152877135369714368e-01 7.22645020825199689716e+06 1.18872560572616863251e+09 1.04936214619149673141e-25
1.13382326791072532424e-01 7.18282373955602757633e+06 1.18154278198661255836e+09 1.06217812827646738017e-25
1.13612241721241472026e-01 7.13941872143282275647e+06 1.17440336326517963409e+09 1.07515063313024610584e-25
1.13842622869352927406e-01 7.09627710947049967945e+06 1.16730708615570902824e+09 1.08828157237742040288e-25
1.14073471180796470748e-01 7.05339570906381029636e+06 1.16025369044664525986e+09 1.10157288098942027189e-25
1.14304787602878640818e-01 7.01077140244196634740e+06 1.15324291904420328140e+09 1.11502651756967156781e-25
1.14536573084826981406e-01 6.96844319861145038158e+06 1.14627447584559178352e+09 1.12864446464220718408e-25
1.14768828577793816081e-01 6.92632351701488252729e+06 1.13934815232857680321e+09 1.14242872894382584205e-25
1.15001555034860244997e-01 6.88449306788538955152e+06 1.13246365926069140434e+09 1.15638134171979710808e-25
1.15234753411040016791e-01 6.84290698906249459833e+06 1.12562075227162885666e+09 1.17050435902320286669e-25
1.15468424663283358855e-01 6.80156253785138390958e+06 1.11881918973377752304e+09 1.18479986201788012264e-25
1.15702569750481112920e-01 6.76045703759035561234e+06 1.11205873269618725777e+09 1.19926995728516808857e-25
1.15937189633468412664e-01 6.71962697384756617248e+06 1.10533910572233963013e+09 1.21391677713426417788e-25
1.16172285275028833174e-01 6.67902975586397666484e+06 1.09866007596647572517e+09 1.22874247991650321017e-25
