T t_cool t_int_cool 4PI_epsilon
1.18070293896270717138e-01 6.46084956078758463264e+06 1.05886313147168600559e+09 1.67891212400971860897e-26
1.18309715013692418051e-01 6.42163989178855344653e+06 1.05244149157989740372e+09 1.69945471470340154507e-26
1.18549621625556211857e-01 6.38271200279456842691e+06 1.04605877957710278034e+09 1.72024865696496696296e-26
1.18790014716340264211e-01 6.34402713613263424486e+06 1.03971475244097018242e+09 1.74129702623333498084e-26
1.19030895272519046668e-01 6.30554830014045070857e+06 1.03340920414082968235e+09 1.76260293557728343375e-26
1.19272264282567291849e-01 6.26730719862866308540e+06 1.02714189694220101833e+09 1.78416953615587116022e-26
1.19514122736964253924e-01 6.22930087272942252457e+06 1.02091259606947159767e+09 1.80600001768452208639e-26
1.19756471628197580515e-01 6.19152643461992777884e+06 1.01472106963485169411e+09 1.82809760890675288831e-26
1.19999311950767531543e-01 6.15398106583171058446e+06 1.00856708856902003288e+09 1.85046557807173450409e-26
1.20242644701191003787e-01 6.11666201558169722557e+06 1.00245042655343830585e+09 1.87310723341767343372e-26
1.20486470878005527685e-01 6.07956659914277400821e+06 9.96370859954295516014e+08 1.89602592366108572082e-26
1.20730791481773583329e-01 6.04269219625722151250e+06 9.90328167758038282394e+08 1.91922503849209075120e-26
1.20975607515086444610e-01 6.00606700747773423791e+06 9.84322100750560522079e+08 1.94270800907571970246e-26
1.21220919982568509088e-01 5.96962664920363295823e+06 9.78352474101356863976e+08 1.96647830855946679841e-26
1.21466729890881350307e-01 5.93342983835568465292e+06 9.72419044263001203537e+08 1.99053945258687759939e-26
1.21713038248727728474e-01 5.89747310861373692751e+06 9.66521571154387474060e+08 2.01489499981757352597e-26
1.21959846066855975844e-01 5.86169448199511785060e+06 9.60659876672392368317e+08 2.03954855245357371487e-26
1.22207154358063882493e-01 5.82615066838865075260e+06 9.54833726004003763199e+08 2.06450375677207061423e-26
1.22454964137203026198e-01 5.79080982646282110363e+06 9.49042916177540898323e+08 2.08976430366469892259e-26
1.22703276421182949640e-01 5.75569807115933578461e+06 9.43287218106381535530e+08 2.11533392918346059232e-26
1.22952092228975115584e-01 5.72081229635387472808e+06 9.37566405810027718544e+08 2.14121641509322668954e-26
1.23201412581617361641e-01 5.68612190149058587849e+06 9.31880283908537149429e+08 2.16741558943115905875e-26
1.23451238502217994220e-01 5.65162492771988455206e+06 9.26228658980817317963e+08 2.19393532707281416760e-26
1.23701571015959813082e-01 5.61734636980194598436e+06 9.20611312611015319824e+08 2.22077955030525170428e-26
1.23952411150104649384e-01 5.58328338599008042365e+06 9.15028029225025296211e+08 2.24795222940718093065e-26
1.24203759933997237574e-01 5.54943320276811439544e+06 9.09478596022257208824e+08 2.27545738323614536528e-26
1.24455618399069697921e-01 5.51579311324924044311e+06 9.03962802909008026123e+08 2.30329907982291454395e-26
1.24707987578845699850e-01 5.48233484654166735709e+06 8.98480468062466382980e+08 2.33148143697317354531e-26
1.24960868508944555888e-01 5.44908207293175067753e+06 8.93031385989534616470e+08 2.36000862287653869326e-26
1.25214262227085704193e-01 5.41605727801077067852e+06 8.87615328711523890495e+08 2.38888485672304665971e-26
1.25468169773092830255e-01 5.38320766610255930573e+06 8.82232121045421361923e+08 2.41811440932718814052e-26
1.25722592188898057985e-01 5.35055614869917556643e+06 8.76881564896722197533e+08 2.44770160375954292743e-26
1.25977530518546543270e-01 5.31812449290426727384e+06 8.71563440403817892075e+08 2.47765081598619889941e-26
1.26232985808200248723e-01 5.28586187952259555459e+06 8.66277578524295330048e+08 2.50796647551595235037e-26
1.26488959106142800914e-01 5.25381401968172658235e+06 8.61023764504613637924e+08 2.53865306605545667895e-26
1.26745451462783376151e-01 5.22195462194881308824e+06 8.55801809882664799690e+08 2.56971512617233522489e-26
1.27002463930661113611e-01 5.19028156417454127222e+06 8.50611528318490266800e+08 2.60115724996648497057e-26
1.27259997564449667262e-01 5.15881546942901518196e+06 8.45452712849061250687e+08 2.63298408774956077644e-26
1.27518053420961091637e-01 5.12753107329108752310e+06 8.40325181775770187378e+08 2.66520034673268721588e-26
1.27776632559150615798e-01 5.09642641268231533468e+06 8.35228755363087892532e+08 2.69781079172277137832e-26
1.28035736040120778911e-01 5.06552145284409075975e+06 8.30163233910243749619e+08 2.73082024582715347440e-26
1.28295364927125704613e-01 5.03481353027270548046e+06 8.25128420379971027374e+08 2.76423359116698611804e-26
1.28555520285575652917e-01 5.00427869003858976066e+06 8.20124141689932465553e+08 2.79805576959930756020e-26
1.28816203183041266822e-01 4.97393626680008415133e+06 8.15150205423132419586e+08 2.83229178344794720147e-26
1.29077414689258013203e-01 4.94376293291004840285e+06 8.10206442490222334862e+08 2.86694669624338563941e-26
1.29339155876130623701e-01 4.91377760882527846843e+06 8.05292664881397008896e+08 2.90202563347167773158e-26
1.29601427817737230308e-01 4.88397791802923846990e+06 8.00408686963367819786e+08 2.93753378333247139034e-26
1.29864231590334139321e-01 4.85436154107121191919e+06 7.95554325422296643257e+08 2.97347639750642401886e-26
1.30127568272360050194e-01 4.82492621419627033174e+06 7.90729399208100318909e+08 3.00985879193190523768e-26
1.30391438944440385406e-01 4.79566972801632713526e+06 7.85933729480083942413e+08 3.04668634759120630705e-26
1.30655844689391981150e-01 4.76658992621336970478e+06 7.81167139553870558739e+08 3.08396451130648181592e-26
1.30920786592227333944e-01 4.73768470425567030907e+06 7.76429454849614858627e+08 3.12169879654526005574e-26
1.31186265740159097026e-01 4.70895200815341155976e+06 7.71720502841461420059e+08 3.15989478423594854001e-26
1.31452283222604632273e-01 4.68038983323706872761e+06 7.67040113008224368095e+08 3.19855812359329219578e-26
1.31718840131190229048e-01 4.65201467857043351978e+06 7.62388098329653978348e+08 3.23769453295380374202e-26
1.31985937559755989179e-01 4.62380573277153540403e+06 7.57764292596882462502e+08 3.27730980062166503651e-26
1.32253576604359934787e-01 4.59576114013545773923e+06 7.53168531456747055054e+08 3.31740978572470392466e-26
1.32521758363282698978e-01 4.56789688392621465027e+06 7.48600634572820782661e+08 3.35800041908104409473e-26
1.32790483937031994488e-01 4.54019297185081895441e+06 7.44060441600969910622e+08 3.39908770407629248247e-26
1.33059754428347110089e-01 4.51266505322612076998e+06 7.39547776547743797302e+08 3.44067771755141690133e-26
1.33329570942203462502e-01 4.48529366507987864316e+06 7.35062482882663965225e+08 3.48277661070155611459e-26
1.33599934585817176069e-01 4.45809412842426914722e+06 7.30604388754239678383e+08 3.52539060998579104789e-26
1.33870846468649440375e-01 4.43104749454502481967e+06 7.26173341259694695473e+08 3.56852601804806368308e-26
1.34142307702411339720e-01 4.40418530396485794336e+06 7.21769155955729842186e+08 3.61218921464934293050e-26
1.34414319401068155235e-01 4.37747216547533031553e+06 7.17391683790254473686e+08 3.65638665761122574237e-26
1.34686882680844083326e-01 4.35092276744752097875e+06 7.13040761022807002068e+08 3.70112488377104291809e-26
1.34959998660226843104e-01 4.32455105255981814116e+06 7.08716209970247149467e+08 3.74641050994870894743e-26
1.35233668459972117271e-01 4.29832297015979234129e+06 7.04417887000087380409e+08 3.79225023392534459051e-26
1.35507893203108326086e-01 4.27225275325882621109e+06 7.00145634246828556061e+08 3.83865083543392703780e-26
1.35782674014941040497e-01 4.24633853603346645832e+06 6.95899295710795044899e+08 3.88561917716197798178e-26
1.36058012023057811613e-01 4.22059368971422128379e+06 6.91678702021080851555e+08 3.93316220576664661079e-26
1.36333908357332611594e-01 4.19500087741743959486e+06 6.87483701143663406372e+08 3.98128695290208650586e-26
1.36610364149930663125e-01 4.16955837110568908975e+06 6.83314142772557735443e+08 4.03000053625950124427e-26
1.36887380535312852547e-01 4.14426448422935791314e+06 6.79169878288328409195e+08 4.07931016061984837836e-26
1.37164958650240614846e-01 4.11913204163493542001e+06 6.75050746246693491936e+08 4.12922311891946294666e-26
1.37443099633780374536e-01 4.09415891196851152927e+06 6.70956587334725022316e+08 4.17974679332866250642e-26
1.37721804627308430646e-01 4.06932889188457699493e+06 6.66887258442840456963e+08 4.23088865634366257332e-26
1.38001074774515591903e-01 4.04465441583988070488e+06 6.62842604027000546455e+08 4.28265627189177376990e-26
1.38280911221411645373e-01 4.02011971245914837345e+06 6.58822484314541339874e+08 4.33505729645004024671e-26
1.38561315116330435737e-01 3.99573695898851891980e+06 6.54826747355552792549e+08 4.38809948017780495644e-26
1.38842287609934222914e-01 3.97151770879335608333e+06 6.50855229646759390831e+08 4.44179066806285969393e-26
1.39123829855218678064e-01 3.94743304042252711952e+06 6.46907796606336832047e+08 4.49613880108180782707e-26
1.39405943007517463261e-01 3.92348163258355110884e+06 6.42984314973753333092e+08 4.55115191737457198994e-26
1.39688628224506949937e-01 3.89968813696306291968e+06 6.39084626836790323257e+08 4.60683815343318391770e-26
1.39971886666211159378e-01 3.87605035414279671386e+06 6.35208576482647538185e+08 4.66320574530531617430e-26
1.40255719495006231368e-01 3.85254081961131282151e+06 6.31356035663036227226e+08 4.72026302981233364623e-26
1.40540127875625447951e-01 3.82917086245690379292e+06 6.27526864800579309464e+08 4.77801844578235669602e-26
1.40825112975163951878e-01 3.80595123530134512112e+06 6.23720913565277934074e+08 4.83648053529845363979e-26
1.41110675963083409545e-01 3.78286772096436098218e+06 6.19938045844313621521e+08 4.89565794496193155426e-26
1.41396818011216979238e-01 3.75993085654595028609e+06 6.16178114987767696381e+08 4.95555942717131832631e-26
1.41683540293773974073e-01 3.73712680833204882219e+06 6.12440988179435610771e+08 5.01619384141679602474e-26
1.41970843987344802484e-01 3.71446590105740306899e+06 6.08726522278378248215e+08 5.07757015559062168397e-26
1.42258730270905769943e-01 3.69193467327574454248e+06 6.05034587605102539062e+08 5.13969744731340865186e-26
1.42547200325823852918e-01 3.66955472588590346277e+06 6.01365032879216670990e+08 5.20258490527685624891e-26
1.42836255335861556093e-01 3.64730119580789515749e+06 5.97717731683408737183e+08 5.26624183060271709113e-26
1.43125896487181825112e-01 3.62517278814700664952e+06 5.94092558895261764526e+08 5.33067763821847502932e-26
1.43416124968352931557e-01 3.60319038686657557264e+06 5.90489368508395195007e+08 5.39590185824989728689e-26
1.43706941970353219151e-01 3.58134101524277869612e+06 5.86908027493152379990e+08 5.46192413743054287398e-26
1.43998348686576210786e-01 3.55962308224970707670e+06 5.83348404410902619362e+08 5.52875424052852000377e-26
1.44290346312835243703e-01 3.53803503506632242352e+06 5.79810369375836253166e+08 5.59640205179080704736e-26
1.44582936047368576515e-01 3.51657535815909225494e+06 5.76293794017677187920e+08 5.66487757640510832870e-26
1.44876119090844163173e-01 3.49525299296283489093e+06 5.72798541024714350700e+08 5.73419094197970738091e-26
1.45169896646364759984e-01 3.47405582331180712208e+06 5.69324485201402544975e+08 5.80435240004135784193e-26
1.45464269919472699577e-01 3.45298244474878581241e+06 5.65871502756653785706e+08 5.87537232755149438383e-26
1.45759240118154886900e-01 3.43204153378195688128e+06 5.62439461222871780396e+08 5.94726122844111379831e-26
1.46054808452847822986e-01 3.41123138820342672989e+06 5.59028229834668397903e+08 6.02002973516425277036e-26
1.46350976136442406661e-01 3.39054054085903335363e+06 5.55637689293809413910e+08 6.09368861027066960196e-26
1.46647744384289069330e-01 3.36997741321761347353e+06 5.52267711880591750145e+08 6.16824874799754621507e-26
1.46945114414202798736e-01 3.34954041852507134899e+06 5.48918171462066650391e+08 6.24372117588094282188e-26
1.47243087446467912915e-01 3.32922800812448561192e+06 5.45588943453942179680e+08 6.32011705638666891479e-26
1.47541664703843278250e-01 3.30903867054929584265e+06 5.42279904783392906189e+08 6.39744768856137872858e-26
1.47840847411567222203e-01 3.28897093062729667872e+06 5.38990933852765560150e+08 6.47572450970366502983e-26
1.48140636797362584831e-01 3.26902334860836481676e+06 5.35721910504157185555e+08 6.55495909705573553683e-26
1.48441034091441881326e-01 3.24920352491322765127e+06 5.32472706979243934155e+08 6.63516316951573281118e-26
1.48742040526512020460e-01 3.22949196802239585668e+06 5.29243215011221528053e+08 6.71634858937093065350e-26
1.49043657337779800187e-01 3.20991403357857977971e+06 5.26033300977642953396e+08 6.79852736405240737787e-26
1.49345885762956515075e-01 3.19044172879031626508e+06 5.22842859248852610588e+08 6.88171164791075171076e-26
1.49648727042263479659e-01 3.17109125711902184412e+06 5.19671767991733610630e+08 6.96591374401392515141e-26
1.49952182418436802402e-01 3.15186106669921334833e+06 5.16519906925034403801e+08 7.05114610596691689539e-26
1.50256253136732687015e-01 3.13274964293013978750e+06 5.13387157282104253769e+08 7.13742133975358850994e-26
1.50560940444932261917e-01 3.11374723690019687638e+06 5.10273410045204043388e+08 7.22475220560129036850e-26
1.50866245593347131360e-01 3.09486904723777808249e+06 5.07178540997966289520e+08 7.31315161986803632700e-26
1.51172169834824010604e-01 3.07609722207126719877e+06 5.04102443775894999504e+08 7.40263265695297476955e-26
1.51478714424750332546e-01 3.05743865427600173280e+06 5.01045005121618986130e+08 7.49320855123010551418e-26
1.51785880621059104945e-01 3.03889987709287088364e+06 4.98006105244526088238e+08 7.58489269900577637226e-26
