T t_cool t_int_cool 4PI_epsilon
1.07997925455591642363e-01 3.10416402598777376115e+07 5.46411121636118125916e+09 1.06182704943812822477e-32
1.08205864337937121555e-01 3.08662699223405756056e+07 5.43324494643884086609e+09 1.07403953810175580568e-32
1.08414203585184124035e-01 3.06919172410317249596e+07 5.40255302919780921936e+09 1.08639248728688051113e-32
1.08622943968194052289e-01 3.05185698884146250784e+07 5.37203445930939483643e+09 1.09888751248198849287e-32
1.08832086259312510457e-01 3.03461715016542039812e+07 5.34168828780774021149e+09 1.11152624775588815913e-32
1.09041631232372121518e-01 3.01747556407998204231e+07 5.31151353216694068909e+09 1.12431034597139259007e-32
1.09251579662695552653e-01 3.00043107929227538407e+07 5.28150922137401771545e+09 1.13724147900148925793e-32
1.09461932327098179774e-01 2.98348257101431526244e+07 5.25167439566387462616e+09 1.15032133794798500961e-32
1.09672690003891057375e-01 2.96662894036526232958e+07 5.22200810626022243500e+09 1.16355163336264341731e-32
1.09883853472883888380e-01 2.94986911378103941679e+07 5.19250941512241172791e+09 1.17693409547091822606e-32
1.10095423515387730307e-01 2.93320618042837679386e+07 5.16317735331812763214e+09 1.19047047439820106475e-32
1.10307400914218006749e-01 2.91663897449505254626e+07 5.13401096357317733765e+09 1.20416254039871602374e-32
1.10519786453697338446e-01 2.90016231256454288960e+07 5.10500934044753170013e+09 1.21801208408701087686e-32
1.10732580919658568641e-01 2.88377921827275641263e+07 5.07617154826480388641e+09 1.23202091667215387689e-32
1.10945785099447497002e-01 2.86748860290720276535e+07 5.04749666223573207855e+09 1.24619087019458097563e-32
1.11159399781925863349e-01 2.85129331085258089006e+07 5.01898372912720584869e+09 1.26052379776568351312e-32
1.11373425757474373010e-01 2.83518444247214645147e+07 4.99063188470248413086e+09 1.27502157381017537680e-32
1.11587863817995444626e-01 2.81916875518805012107e+07 4.96244019715060329437e+09 1.28968609431120514566e-32
1.11802714756916235506e-01 2.80324512688334733248e+07 4.93440774588177013397e+09 1.30451927705830408479e-32
1.12017979369191625350e-01 2.78740872796860672534e+07 4.90653365860208415985e+09 1.31952306189822185480e-32
1.12233658451307019566e-01 2.77166599640704058111e+07 4.87881699863801383972e+09 1.33469941098857740792e-32
