T t_cool t_int_cool 4PI_epsilon
1.06481137668167566424e-01 1.78273160252119570971e+08 2.93197532584342269897e+10 1.93382627697971874844e-34
1.06697058473677205970e-01 1.77196079990281194448e+08 2.91425571784439468384e+10 1.95744694509492711135e-34
1.06913417120059667242e-01 1.76125569585513919592e+08 2.89664316088584327698e+10 1.98135612581469458933e-34
1.07130214495161829591e-01 1.75061548467168062925e+08 2.87913700603912658691e+10 2.00555734313461136584e-34
1.07347451488631062677e-01 1.74003938004116117954e+08 2.86173661223871498108e+10 2.03005416409354945730e-34
1.07565128991918709800e-01 1.72952661457865297794e+08 2.84444134609292831421e+10 2.05485019929941263732e-34
1.07783247898283723876e-01 1.71907643937103748322e+08 2.82725058169921798706e+10 2.07994910346130313431e-34
1.08001809102796511586e-01 1.70868812353244513273e+08 2.81016370046389350891e+10 2.10535457592819490764e-34
1.08220813502342347312e-01 1.69836095376411139965e+08 2.79318009092625236511e+10 2.13107036123418406309e-34
1.08440261995625300551e-01 1.68809423393088072538e+08 2.77629914858694343567e+10 2.15710024965041946958e-34
1.08660155483171816382e-01 1.67789914392553836107e+08 2.75952015714768791199e+10 2.18344807774371870877e-34
1.08880494867334351450e-01 1.66775115901103049517e+08 2.74284264555757751465e+10 2.21011772894205880313e-34
1.09101281052295176477e-01 1.65767321097976714373e+08 2.72626591344777984619e+10 2.23711313410698234857e-34
1.09322514944070081633e-01 1.64766424920461446047e+08 2.70978927095573387146e+10 2.26443827211293701251e-34
1.09544197450511970882e-01 1.63770065405519247055e+08 2.69341226441518211365e+10 2.29209717043375152750e-34
1.09766329481314789396e-01 1.62780456443222820759e+08 2.67713421877085990906e+10 2.32009390573624005533e-34
1.09988911948017034637e-01 1.61797499392289578915e+08 2.66095446883163108826e+10 2.34843260448106834585e-34
1.10211945764005683768e-01 1.60818919368005275726e+08 2.64487257689483070374e+10 2.37711744353095567283e-34
1.10435431844519885147e-01 1.59847929778689861298e+08 2.62888778391696166992e+10 2.40615265076633143122e-34
1.10659371106654594308e-01 1.58881209496477216482e+08 2.61299966296731376648e+10 2.43554250570844468541e-34
1.10883764469364556882e-01 1.57921896601390153170e+08 2.59720747330717468262e+10 2.46529134015018838554e-34
1.11108612853467833559e-01 1.56966751349035292864e+08 2.58151079817227096558e+10 2.49540353879450482745e-34
1.11333917181649824646e-01 1.56018838214855253696e+08 2.56590891435078544617e+10 2.52588353990070548967e-34
1.11559678378466892168e-01 1.55076009584963291883e+08 2.55040131339228897095e+10 2.55673583593862228484e-34
1.11785897370350148505e-01 1.54139220232288807631e+08 2.53498739136906013489e+10 2.58796497425073134750e-34
1.12012575085609383807e-01 1.53207400764855355024e+08 2.51966665129257469177e+10 2.61957555772243409981e-34
1.12239712454436785238e-01 1.52281484565941154957e+08 2.50443850283598060608e+10 2.65157224546046865369e-34
1.12467310408910725616e-01 1.51361394146474629641e+08 2.48930236342133331299e+10 2.68395975347961704694e-34
1.12695369882999704703e-01 1.50446100749600678682e+08 2.47425775334637336731e+10 2.71674285539781137525e-34
1.12923891812565999060e-01 1.49537448334296554327e+08 2.45930400851294364929e+10 2.74992638313974530292e-34
1.13152877135369714368e-01 1.48633469832437217236e+08 2.44444066152970008850e+10 2.78351522764903671012e-34
1.13382326791072532424e-01 1.47735966711553871632e+08 2.42966706485854454041e+10 2.81751433960912407992e-34
1.13612241721241472026e-01 1.46843020791844487190e+08 2.41498276277936019897e+10 2.85192873017297873247e-34
1.13842622869352927406e-01 1.45955494992312371731e+08 2.40038721328012886047e+10 2.88676347170166497942e-34
1.14073471180796470748e-01 1.45073323584126502275e+08 2.38587988092171630859e+10 2.92202369851201547515e-34
1.14304787602878640818e-01 1.44196442419134706259e+08 2.37146023667980270386e+10 2.95771460763333922979e-34
1.14536573084826981406e-01 1.43325653805312067270e+08 2.35712767129927139282e+10 2.99384145957350183207e-34
1.14768828577793816081e-01 1.42459156379061073065e+08 2.34288175566136512756e+10 3.03040957909418758107e-34
1.15001555034860244997e-01 1.41598610151090025902e+08 2.32872189464625625610e+10 3.06742435599581307840e-34
