1.258925e-08   6.867915e+04
1.584893e-08   4.878532e+04
1.995262e-08   3.465400e+04
2.511886e-08   2.461601e+04
3.162278e-08   1.748565e+04
3.981072e-08   1.242070e+04
5.011872e-08   8.822880e+03
6.309573e-08   6.267215e+03
7.943282e-08   4.451833e+03
1.000000e-07   3.162300e+03
1.259000e-07   2.246100e+03
1.585000e-07   1.585100e+03
1.995000e-07   1.122500e+03
2.512000e-07   7.947400e+02
3.162000e-07   5.633500e+02
3.981000e-07   4.002700e+02
5.012000e-07   2.871600e+02
6.310000e-07   2.132500e+02
7.943000e-07   1.761400e+02
1.000000e-06   9.094500e+01
1.259000e-06   1.347100e+02
1.585000e-06   2.044600e+02
1.995000e-06   3.209700e+02
2.512000e-06   5.190700e+02
3.162000e-06   8.627900e+02
3.981000e-06   1.455200e+03
5.012000e-06   2.497000e+03
6.310000e-06   4.337800e+03
7.943000e-06   7.604500e+03
1.000000e-05   1.340600e+04
1.259000e-05   2.361800e+04
1.585000e-05   4.143100e+04
1.995000e-05   7.216300e+04
2.512000e-05   1.246600e+05
3.162000e-05   9.142900e+05
3.981000e-05   1.577100e+06
5.012000e-05   1.629900e+06
6.310000e-05   1.658400e+06
7.943000e-05   1.680700e+06
1.000000e-04   1.698400e+06
1.258925e-04   1.716284e+06
1.584893e-04   1.734356e+06
1.995262e-04   1.752618e+06
2.511886e-04   1.771072e+06
3.162278e-04   1.789721e+06
3.981072e-04   1.808566e+06
5.011872e-04   1.827610e+06
6.309573e-04   1.846854e+06
7.943282e-04   1.866301e+06
