T t_cool t_int_cool 4PI_epsilon
1.16407857639898318358e-01 1.84818107975635647774e+08 3.11393333875206642151e+10 8.87677698369289790392e-33
1.16643907694768955707e-01 1.83728006710619270802e+08 3.09556053808100433350e+10 8.98390376847035993170e-33
1.16880436408293195139e-01 1.82643846913925677538e+08 3.07729615338961181641e+10 9.09232337608887376265e-33
1.17117444751087623755e-01 1.81566592495055913925e+08 3.05913949414010620117e+10 9.20205140846930459885e-33
1.17354933695737073673e-01 1.80495134795957654715e+08 3.04108998066051025391e+10 9.31310365581787221957e-33
1.17592904216798591066e-01 1.79430416816127091646e+08 3.02314693897889747620e+10 9.42549609889838107335e-33
1.17831357290805321947e-01 1.78371358074740767479e+08 3.00530980317142333984e+10 9.53924491133181811235e-33
1.18070293896270717138e-01 1.77319857863029748201e+08 2.98757781738512039185e+10 9.65436646192393691061e-33
1.18309715013692418051e-01 1.76272897879527300596e+08 2.96995052759716758728e+10 9.77087731702063921971e-33
1.18549621625556211857e-01 1.75233322735819399357e+08 2.95242719532358551025e+10 9.88879424289191071738e-33
1.18790014716340264211e-01 1.74200071939816117287e+08 2.93500718812960395813e+10 1.00081342081446859062e-32
1.19030895272519046668e-01 1.73172132797097504139e+08 2.91768997484989433289e+10 1.01289143861645805816e-32
1.19272264282567291849e-01 1.72150378869051039219e+08 2.90047493696298904419e+10 1.02511521575871049374e-32
1.19514122736964253924e-01 1.71134732022425889969e+08 2.88336146376074638367e+10 1.03748651127990415369e-32
1.19756471628197580515e-01 1.70125116023347824812e+08 2.86634895215841178894e+10 1.05000710544694544511e-32
1.19999311950767531543e-01 1.69121456492446511984e+08 2.84943680650916709900e+10 1.06267880001117678116e-32
1.20242644701191003787e-01 1.68123680860539376736e+08 2.83262443842311325073e+10 1.07550341846765059784e-32
1.20486470878005527685e-01 1.67131718325355738401e+08 2.81591126659057769775e+10 1.08848280631752235456e-32
1.20730791481773583329e-01 1.66145499809392899275e+08 2.79929671660963859558e+10 1.10161883133364613122e-32
1.20975607515086444610e-01 1.65165803755421966314e+08 2.78278013623409652710e+10 1.11491338382932725223e-32
1.21220919982568509088e-01 1.64190862650996893644e+08 2.76636104996899681091e+10 1.12836837693037562521e-32
1.21466729890881350307e-01 1.63222294176163852215e+08 2.75003882055138053894e+10 1.14198574685037672922e-32
1.21713038248727728474e-01 1.62260006203491687775e+08 2.73381281993103141785e+10 1.15576745316934638300e-32
1.21959846066855975844e-01 1.61302296417719155550e+08 2.71768259028925933838e+10 1.16971547911571770240e-32
1.22207154358063882493e-01 1.60350727972937017679e+08 2.70164751749196548462e+10 1.18383183185170321652e-32
1.22454964137203026198e-01 1.59404427495275527239e+08 2.68570707474243774414e+10 1.19811854276218554646e-32
