                       C          Si         Fe          FeS       Al2O3      MgSiO3     Mg2SiO4        SiO2         MgO       Total


 formation    7.5490D-02  3.6368D-02  6.2678D-02  1.5546D-02  1.6897D-04  1.0613D-03  1.8165D-02  1.5933D-02  3.0894D-03  2.2850D-01


mass of surviving dust

  n=0.03      7.4101D-02  3.1208D-02  5.6496D-02  4.4194D-03  1.6087D-06  3.8617D-04  1.5123D-02  1.3773D-02  1.9079D-03  1.9742D-01
  n=0.1       7.1863d-02  2.7005d-02  4.9575d-02  9.4621d-04  4.0221d-09  1.1478d-04  1.1822d-02  1.1199d-02  1.1906d-03  1.7371d-01
  n=0.3       6.5044D-02  2.2196D-02  3.8822D-02  4.3437D-05  1.0998D-16  1.5612D-05  6.9742D-03  7.2542D-03  4.5777D-04  1.4080D-01
  n=1         3.6229d-02  1.2360d-02  1.7886d-02  1.5640d-06  0.0000d+00  2.1462d-06  6.4842d-04  1.8832d-03  9.5953d-06  6.9020d-02
  n=3         1.5593D-02  5.8095D-03  5.9139D-03  9.2970D-13  0.0000D+00  6.0102D-07  4.3742D-06  2.7572D-04  2.9959D-09  2.7597D-02
  n=10        8.0884d-03  3.8522d-03  2.6126d-03  4.0839d-28  0.0000d+00  1.0532d-07  3.4250d-07  7.1142d-05  1.8189d-15  1.4625d-02
  n=30        2.0088D-03  3.8305D-04  1.0662D-04  0.0000D+00  0.0000D+00  1.3254D-08  4.3692D-19  3.4215D-08  0.0000D+00  2.4985D-03



destruction effiency = 1 - (Msurv / Minit)

  n=0.03      1.8386D-02  1.4186D-01  9.8631D-02  7.1572D-01  9.9048D-01  6.3614D-01  1.6749D-01  1.3554D-01  3.8244D-01  1.3602D-01
  n=0.1       4.8034d-02  2.5744d-01  2.0905d-01  9.3914d-01  9.9998d-01  8.9185d-01  3.4917d-01  2.9711d-01  6.1462d-01  2.3976d-01
  n=0.3       1.3836D-01  3.8966D-01  3.8062D-01  9.9721D-01  1.0000D+00  9.8529D-01  6.1607D-01  5.4471D-01  8.5183D-01  3.8379D-01
  n=1         5.2008d-01  6.6012d-01  7.1464d-01  9.9990d-01  1.0000d+00  9.9798d-01  9.6430d-01  8.8180d-01  9.9689d-01  6.9794d-01
  n=3         7.9345D-01  8.4025D-01  9.0565D-01  1.0000D+00  1.0000D+00  9.9943D-01  9.9976D-01  9.8269D-01  1.0000D+00  8.7922D-01
  n=10        8.9285d-01  8.9407d-01  9.5832d-01  1.0000d+00  1.0000d+00  9.9990d-01  9.9998d-01  9.9553d-01  1.0000d+00  9.3600d-01
  n=30        9.7339D-01  9.8947D-01  9.9830D-01  1.0000D+00  1.0000D+00  9.9999D-01  1.0000D+00  1.0000D+00  1.0000D+00  9.8907D-01
 
