C Si Fe FeS Al2O3 MgSiO3 Mg2SiO4 SiO2 MgO Total
7.4101e-02 3.1208e-02 5.6496e-02 4.4194e-03 1.6087e-06 3.8617e-04 1.5123e-02 1.3773e-02 1.9079e-03 1.9742e-01
7.1863e-02 2.7005e-02 4.9575e-02 9.4621e-04 4.0221e-09 1.1478e-04 1.1822e-02 1.1199e-02 1.1906e-03 1.7371e-01
6.5044e-02 2.2196e-02 3.8822e-02 4.3437e-05 1.0998e-16 1.5612e-05 6.9742e-03 7.2542e-03 4.5777e-04 1.4080e-01
3.6229e-02 1.2360e-02 1.7886e-02 1.5640e-06 0.0000e+00 2.1462e-06 6.4842e-04 1.8832e-03 9.5953e-06 6.9020e-02
1.5593e-02 5.8095e-03 5.9139e-03 9.2970e-13 0.0000e+00 6.0102e-07 4.3742e-06 2.7572e-04 2.9959e-09 2.7597e-02
8.0884e-03 3.8522e-03 2.6126e-03 4.0839e-28 0.0000e+00 1.0532e-07 3.4250e-07 7.1142e-05 1.8189e-15 1.4625e-02
2.0088e-03 3.8305e-04 1.0662e-04 0.0000e+00 0.0000e+00 1.3254e-08 4.3692e-19 3.4215e-08 0.0000e+00 2.4985e-03
