C Si Fe FeS Al2O3 MgSiO3 Mg2SiO4 SiO2 MgO Total
2.5521e-02 3.0919e-01 2.2174e-02 6.0037e-02 7.9056e-04 3.3154e-03 3.5767e-01 1.2584e-01 1.3703e-01 1.0415e+00
1.9697e-02 2.9636e-01 2.0974e-02 3.8825e-02 9.3230e-05 9.3490e-04 2.2458e-01 1.0715e-01 1.0413e-01 8.1275e-01
9.3305e-03 2.7131e-01 1.8762e-02 1.8986e-02 1.3709e-06 1.8112e-04 6.4718e-02 8.0839e-02 5.7471e-02 5.2159e-01
4.4432e-03 2.0908e-01 1.3853e-02 3.2414e-03 4.1563e-11 2.9948e-05 5.5468e-03 3.7815e-02 9.6133e-03 2.8361e-01
1.1229e-03 1.3823e-01 8.3136e-03 1.7821e-04 0.0000e+00 4.2517e-06 9.5083e-05 1.0448e-02 3.5652e-04 1.5874e-01
2.7236e-04 9.4319e-02 4.0932e-03 3.2988e-05 0.0000e+00 2.3825e-06 3.4704e-06 6.1550e-03 6.5472e-06 1.0489e-01
8.8729e-06 2.4052e-02 5.6517e-04 5.8379e-14 0.0000e+00 2.9933e-13 2.8578e-20 1.0302e-05 3.2250e-15 2.4636e-02
