                       C          Si         Fe          FeS       Al2O3      MgSiO3     Mg2SiO4        SiO2         MgO       Total


 formation    2.2121D-01  2.0637D-01  3.0074D-02  8.8251D-02  2.1107D-03  3.0054D-03  2.2851D-01  8.8800D-02  6.3380D-02  9.3171D-01


mass of surviving dust

  n=0.03      2.1583D-01  2.0059D-01  2.8832D-02  4.9490D-02  4.8520D-05  1.7707D-03  2.0472D-01  8.5279D-02  4.1408D-02  8.2795D-01
  n=0.1       2.0353d-01  1.9379d-01  2.7384d-02  2.7064d-02  1.4477d-06  1.2915d-03  1.8254d-01  8.1131d-02  3.0398d-02  7.4712d-01
  n=0.3       1.8260D-01  1.8131D-01  2.4834D-02  1.1826D-02  9.0421D-11  6.4851D-04  1.4517D-01  7.3672D-02  1.8701D-02  6.3876D-01
  n=1         1.5834d-01  1.4664d-01  1.8680d-02  1.4456d-03  6.3323d-31  9.5524d-05  6.4286d-02  5.6054d-02  4.1803d-03  4.4972d-01
  n=3         1.3566D-01  1.0709D-01  1.1952D-02  2.0385D-05  0.0000D+00  4.3410D-06  1.2647D-02  3.8761D-02  2.5582D-04  3.0638D-01  
  n=10        6.0315d-02  6.2193d-02  4.1774d-03  6.0475d-06  0.0000d+00  2.2779d-07  5.0511d-04  1.1565d-02  2.3426d-08  1.3876d-01
  n=30        2.3782D-02  2.1420D-02  5.0601D-04  5.7875D-16  0.0000D+00  7.1438D-09  1.8062D-07  1.6239D-03  1.3136D-24  4.7332D-02



destruction effiency = 1 - (Msurv / Minit)

  n=0.03      2.4341D-02  2.8008D-02  4.1298D-02  4.3921D-01  9.7701D-01  4.1087D-01  1.0413D-01  3.9650D-02  3.4668D-01  1.1136D-01
  n=0.1       7.9911d-02  6.0956d-02  8.9446d-02  6.9332d-01  9.9931d-01  5.7031d-01  2.0119d-01  8.6367d-02  5.2039d-01  1.9812d-01
  n=0.3       1.7455D-01  1.2142D-01  1.7424D-01  8.6599D-01  1.0000D+00  7.8423D-01  3.6471D-01  1.7036D-01  7.0494D-01  3.1442D-01
  n=1         2.8421d-01  2.8945d-01  3.7888d-01  9.8362d-01  1.0000d+00  9.6822d-01  7.1867d-01  3.6876d-01  9.3405d-01  5.1732d-01
  n=3         3.8676D-01  4.8110D-01  6.0256D-01  9.9977D-01  1.0000D+00  9.9856D-01  9.4466D-01  5.6350D-01  9.9596D-01  6.7117D-01
  n=10        7.2734d-01  6.9863d-01  8.6110d-01  9.9993d-01  1.0000d+00  9.9992d-01  9.9779d-01  8.6976d-01  1.0000d+00  8.5107d-01
  n=30        8.9249D-01  8.9620D-01  9.8317D-01  1.0000D+00  1.0000D+00  1.0000D+00  1.0000D+00  9.8171D-01  1.0000D+00  9.4920D-01
 
