C Si Fe FeS Al2O3 MgSiO3 Mg2SiO4 SiO2 MgO Total
2.1583e-01 2.0059e-01 2.8832e-02 4.9490e-02 4.8520e-05 1.7707e-03 2.0472e-01 8.5279e-02 4.1408e-02 8.2795e-01
2.0353e-01 1.9379e-01 2.7384e-02 2.7064e-02 1.4477e-06 1.2915e-03 1.8254e-01 8.1131e-02 3.0398e-02 7.4712e-01
1.8260e-01 1.8131e-01 2.4834e-02 1.1826e-02 9.0421e-11 6.4851e-04 1.4517e-01 7.3672e-02 1.8701e-02 6.3876e-01
1.5834e-01 1.4664e-01 1.8680e-02 1.4456e-03 6.3323e-31 9.5524e-05 6.4286e-02 5.6054e-02 4.1803e-03 4.4972e-01
1.3566e-01 1.0709e-01 1.1952e-02 2.0385e-05 0.0000e+00 4.3410e-06 1.2647e-02 3.8761e-02 2.5582e-04 3.0638e-01
6.0315e-02 6.2193e-02 4.1774e-03 6.0475e-06 0.0000e+00 2.2779e-07 5.0511e-04 1.1565e-02 2.3426e-08 1.3876e-01
2.3782e-02 2.1420e-02 5.0601e-04 5.7875e-16 0.0000e+00 7.1438e-09 1.8062e-07 1.6239e-03 1.3136e-24 4.7332e-02
