1.2589E-08	1.2665E-02
1.5849E-08	1.2665E-02
1.9953E-08	1.2665E-02
2.5119E-08	1.2665E-02
3.1623E-08	1.2665E-02
3.9811E-08	1.2665E-02
5.0119E-08	1.2665E-02
6.3096E-08	1.2665E-02
7.9433E-08	1.2665E-02
1.0000E-07	1.2665E-02
1.2589E-07	1.2665E-02
1.5849E-07	1.2665E-02
1.9953E-07	1.2665E-02
2.5119E-07	1.2665E-02
3.1623E-07	1.2665E-02
3.9811E-07	1.2665E-02
5.0119E-07	1.2665E-02
6.3096E-07	1.2665E-02
7.9433E-07	1.2665E-02
1.0000E-06	1.2665E-02
1.2589E-06	9.4538E-03
1.5849E-06	3.9311E-03
1.9953E-06	9.1059E-04
2.5119E-06	1.1750E-04
3.1623E-06	8.4461E-06
3.9811E-06	3.3821E-07
5.0119E-06	7.5442E-09
6.3096E-06	0.0000E+00
7.9433E-06	0.0000E+00
1.0000E-05	0.0000E+00
1.2589E-05	0.0000E+00
1.5849E-05	0.0000E+00
1.9953E-05	0.0000E+00
2.5119E-05	0.0000E+00
3.1623E-05	0.0000E+00
3.9811E-05	0.0000E+00
5.0119E-05	0.0000E+00
6.3096E-05	0.0000E+00
7.9433E-05	0.0000E+00
1.0000E-04	0.0000E+00
1.2589E-04	0.0000E+00
1.5849E-04	0.0000E+00
1.9953E-04	0.0000E+00
2.5119E-04	0.0000E+00
3.1623E-04	0.0000E+00
3.9811E-04	0.0000E+00
5.0119E-04	0.0000E+00
6.3096E-04	0.0000E+00
7.9433E-04	0.0000E+00
